Title,Year,ID,Director 1,Director 2,Lead Actor,Supporting Actor,Genre 1,Genre 2,Genre 3,Length,ID,Jon,Shukanth,RT,iMDB,MC,Jake,Jeff,Letterboxd Link
300,2006,,Zack Snyder,,,,Action,,,117,,,,,,,4,4,http://letterboxd.com/film/300/
2046,2004,,Wong Kar-wai,,,,Asian,,,129,,,,,,,,4,http://letterboxd.com/film/2046/
8/1/2002,1963,,Federico Fellini,,,,Cerebral,,,138,,,,,,,,,
(500) Days of Summer,2009,,Marc Webb,,,,Drama,,,95,,,,,,,3.5,,http://letterboxd.com/film/500-days-of-summer/
10 Things I Hate About You,1999,,Gil Junger,,,,Comedy,,,97,,,,,,,3.5,4,http://letterboxd.com/film/10-things-i-hate-about-you/
12 Monkeys,1995,,Terry Gilliam,,,,Science Fiction,,,129,,,,,,,,,
13 Assassins,2010,,Takashi Miike,,,,Asian,,,141,,,,,,,4,4,http://letterboxd.com/film/13-assassins/
21 Grams,2003,,Alejandro González Iñárritu,,,,Suspense,,,124,,,,,,,,4,http://letterboxd.com/film/21-grams/
28 Days Later,2002,,Danny Boyle,,,,Horror,,,113,,,,,,,4,,http://letterboxd.com/film/28-days-later/
50/50,2011,,Jonathan Levine,,,,Drama,,,100,,,,,,,3.5,4.5,http://letterboxd.com/film/50-50/
A Clockwork Orange,1971,,Stanley Kubrick,,,,Science Fiction,,,136,,,,,,,,,
A Prophet,2009,,Jacques Audiard,,,,Suspense,,,155,,,,,,,,,
A Scanner Darkly,2006,,Richard Linklater,,,,Cerebral,,,100,,,,,,,,,
A Separation,2011,,Asghar Farhadi,,,,Drama,,,123,,,,,,,,,
Fruitvale Station,2013,,,,,,,,,,,,,93,75,85,,5,http://letterboxd.com/film/fruitvale-station/
A Serious Man,2009,,Coen Brothers,,,,Comedy,,,106,,,,,,,,,
A Very Long Engagement,2004,,Jean-Pierre Jeunet,,,,Drama,,,,,,,,,,,,
Gravity,2013,,,,,,,,,,,,,97,81,,5,5,http://letterboxd.com/film/gravity-2013/
Akira,1988,,Katsuhiro Ohtomo,,,,Anime,,,124,,,,,,,4.5,,http://letterboxd.com/film/akira/
Alien,1979,,Ridley Scott,,,,Science Fiction,,,117,,,,,,,5,,http://letterboxd.com/film/alien/
Aliens,1986,,James Cameron,,,,Science Fiction,,,137,,,,,,,4.5,4.5,http://letterboxd.com/film/aliens/
Inland Empire,2006,,,,,,,,,,,,,72,,72,,5,http://letterboxd.com/film/inland-empire/
All the Real Girls,2003,,David Gordon Green,,,,Drama,,,108,,,,,,,,4,http://letterboxd.com/film/all-the-real-girls/
Almost Famous,2000,,Cameron Crowe,,,,Drama,,,122,,,,,,,3.5,4.5,http://letterboxd.com/film/almost-famous/
Amelie,2001,,Jean-Pierre Jeunet,,Audrey Tautou,Mathieu Kassovitz,Comedy,Romance,,122,tt1378836,5,,88,85,69,,5,http://letterboxd.com/film/amelie/
American Beauty,1999,,Sam Mendes,,,,Drama,,,122,,,,,,,4,3.5,http://letterboxd.com/film/american-beauty/
American History X,1998,,Tony Kaye,,,,Action,,,119,,,,,,,4.5,4,http://letterboxd.com/film/american-history-x/
American Psycho,2000,,Mary Harron,,,,Action,,,102,,,,,,,4.5,,http://letterboxd.com/film/american-psycho/
Amores Perros,2000,,Alejandro González Iñárritu,,,,Suspense,,,154,,,,,,,,4.5,http://letterboxd.com/film/amores-perros/
Annie Hall,1977,,Woody Allen,,Woody Allen,Diane Keaton,Comedy,Drama,Romance,93,tt0075686,,,98,82,,,5,http://letterboxd.com/film/annie-hall/
Apocalypto,2006,,Mel Gibson,,,,Action,,,139,,,,,,,4,4,http://letterboxd.com/film/apocalypto/
Army of Darkness,1992,,Sam Raimi,,,,Comedy,,,81,,,,,,,3.5,4,http://letterboxd.com/film/army-of-darkness/
As Tears Go By,1988,,Wong Kar-wai,,Andy Lau,Maggie Cheung,Crime,Drama,Romance,102,tt0096461,,,80,71,71,,5,http://letterboxd.com/film/as-tears-go-by/
Attack the Block,2011,,Joe Cornish,,,,Science Fiction,,,88,,,,,,,,4,http://letterboxd.com/film/attack-the-block/
Audition,2000,,Takashi Miike,,,,Asian,,,115,,,,,,,4,4,http://letterboxd.com/film/audition/
Bad Boys,1995,,Michael Bay,,,,Action,,,118,,,,,,,4.5,4,http://letterboxd.com/film/bad-boys-1995/
Badlands,1973,,Terrence Malick,,,,Drama,,,94,,,,,,,,4,http://letterboxd.com/film/badlands/
Batman,1989,,Tim Burton,,,,Action,,,126,,,,,,,4.5,4,http://letterboxd.com/film/batman-1989/
